# Starting from 20, size increases by 10 every 5 rows. Columns are time, distortion, stress
1.303666019812226295e-01,9.617099962307873451e-02,4.439108710745827413e-03
4.160455020610243082e-03,8.627075790212053452e-02,3.396640518372450682e-03
4.180879041086882353e-03,8.466011631984840524e-02,3.241809744316390650e-03
4.364200984127819538e-03,8.564827504343987263e-02,3.323393212787704564e-03
4.015974001958966255e-03,8.322160820101526246e-02,3.313737123070753868e-03
8.513160981237888336e-03,9.881905687873765443e-02,4.632126966786557359e-03
9.578171011526137590e-03,1.013188593965124451e-01,4.844971658708431550e-03
7.562902988865971565e-03,9.955555190440101843e-02,4.721772005777081886e-03
8.060975000262260437e-03,9.796080264891922351e-02,4.526828286323896118e-03
8.939115970861166716e-03,9.812575873343649946e-02,4.518865770287568487e-03
1.285962900146842003e-02,6.725956493052051566e-02,4.300954911529530737e-03
1.273686497006565332e-02,5.758973668250430555e-02,1.660812094602835340e-03
1.279802399221807718e-02,5.762060824237428408e-02,1.609166050910282265e-03
1.268133101984858513e-02,6.015281964198992970e-02,2.018166931617358835e-03
1.697668200358748436e-02,5.802235093333395211e-02,1.700201884295093890e-03
2.364505099831148982e-02,3.926644758896084830e-02,1.500760057663908225e-03
1.952994597377255559e-02,4.518110101972678400e-02,3.587199314572757283e-03
3.037708799820393324e-02,3.816789801980148555e-02,1.611063517212943082e-03
1.816560502629727125e-02,3.175068196504607365e-02,5.030744369485017423e-04
1.811307197203859687e-02,3.581177194177518480e-02,1.005268766608046708e-03
2.776262798579409719e-02,6.192578776345154801e-02,1.950295215851423000e-03
3.559479705290868878e-02,6.195363895715617214e-02,2.158482625892084884e-03
2.974164299666881561e-02,6.117201688100903922e-02,1.958878743218075025e-03
2.787281997734680772e-02,6.542224241927736827e-02,2.844427101551266161e-03
3.240550699410960078e-02,6.237985533963916890e-02,2.174531635584905833e-03
4.365243000211194158e-02,8.273630310942821364e-02,3.435556124387324425e-03
4.300090402830392122e-02,8.235555403393277074e-02,3.454187918741935016e-03
3.755841503152623773e-02,8.310694005931126838e-02,3.522378888144768721e-03
4.087743395939469337e-02,8.322945124478973999e-02,3.470934884908483901e-03
4.013852099888026714e-02,8.310818281800576302e-02,3.487492265235446476e-03
4.476551205152645707e-02,5.192350033772531737e-02,1.374809451395151783e-03
5.187478399602696300e-02,5.208540846861133694e-02,1.442796445346361230e-03
4.499657801352441311e-02,5.286500459169996696e-02,1.593814082742542673e-03
4.862917604623362422e-02,5.266365724352588956e-02,1.510857050761792771e-03
4.486396798165515065e-02,5.315015681937446113e-02,1.597240887062396832e-03
5.641608103178441525e-02,6.289626700259803860e-02,9.795859201364503707e-03
6.252143299207091331e-02,5.993395662981333694e-02,3.089280117319202768e-03
5.184917303267866373e-02,5.991851386697947396e-02,2.131044038377296473e-03
5.986886599566787481e-02,6.273831475699610805e-02,4.465899236186653305e-03
6.076213397318497300e-02,6.059679346154958623e-02,2.818408671241628364e-03
8.048301894450560212e-02,6.399836784706941506e-02,2.116459628589646702e-03
7.639338803710415959e-02,6.755790927500911203e-02,3.844527998091142214e-03
