Author 1,Author 2,# Joint Publications,# Joint Citations,First Year,Last Year,Identifier,Author 1 X,Author 1 Y,Author 2 X,Author 2 Y,Author 1 Latitude,Author 1 Longitude,Author 2 Latitude,Author 2 Longitude
Gelfand Ms,Ravasz E,1,122,2003,2003,Gelfand MsRavasz E,299.15,-115.11,235,-174.28,,,41.7002,-86.2379
Gelfand Ms,Scholle Md,1,122,2003,2003,Gelfand MsScholle Md,299.15,-115.11,275.6,-130.73,,,41.8805,-87.6873
Gelfand Ms,Somera Al,1,122,2003,2003,Gelfand MsSomera Al,299.15,-115.11,284.26,-153.92,,,,
Gerdes Sy,Grechkin Y,1,122,2003,2003,Gerdes SyGrechkin Y,336.02,-72.36,328.12,-159.87,41.8971,-87.6223,,
Gerdes Sy,Kapatral V,1,122,2003,2003,Gerdes SyKapatral V,336.02,-72.36,352.12,-117.97,41.8971,-87.6223,,
Gerdes Sy,Kyrpides Nc,1,122,2003,2003,Gerdes SyKyrpides Nc,336.02,-72.36,312.27,-84.38,41.8971,-87.6223,,
Gerdes Sy,Mseeh F,1,122,2003,2003,Gerdes SyMseeh F,336.02,-72.36,349.15,-93.22,41.8971,-87.6223,,
Gerdes Sy,Oltvai Zn,1,122,2003,2003,Gerdes SyOltvai Zn,336.02,-72.36,183.41,-126.32,41.8971,-87.6223,41.7002,-86.2379
Gerdes Sy,Osterman Al,1,122,2003,2003,Gerdes SyOsterman Al,336.02,-72.36,305.04,-140.29,41.8971,-87.6223,,
Gerdes Sy,Overbeek R,1,122,2003,2003,Gerdes SyOverbeek R,336.02,-72.36,325.75,-128.61,41.8971,-87.6223,,
Gerdes Sy,Ravasz E,1,122,2003,2003,Gerdes SyRavasz E,336.02,-72.36,235,-174.28,41.8971,-87.6223,41.7002,-86.2379
Gerdes Sy,Scholle Md,1,122,2003,2003,Gerdes SyScholle Md,336.02,-72.36,275.6,-130.73,41.8971,-87.6223,41.8805,-87.6873
Gerdes Sy,Somera Al,1,122,2003,2003,Gerdes SySomera Al,336.02,-72.36,284.26,-153.92,41.8971,-87.6223,,
Grechkin Y,Kapatral V,1,122,2003,2003,Grechkin YKapatral V,328.12,-159.87,352.12,-117.97,,,,
Grechkin Y,Kyrpides Nc,1,122,2003,2003,Grechkin YKyrpides Nc,328.12,-159.87,312.27,-84.38,,,,
Grechkin Y,Mseeh F,1,122,2003,2003,Grechkin YMseeh F,328.12,-159.87,349.15,-93.22,,,,
Grechkin Y,Oltvai Zn,1,122,2003,2003,Grechkin YOltvai Zn,328.12,-159.87,183.41,-126.32,,,41.7002,-86.2379
Grechkin Y,Osterman Al,1,122,2003,2003,Grechkin YOsterman Al,328.12,-159.87,305.04,-140.29,,,,
Grechkin Y,Overbeek R,1,122,2003,2003,Grechkin YOverbeek R,328.12,-159.87,325.75,-128.61,,,,
Grechkin Y,Ravasz E,1,122,2003,2003,Grechkin YRavasz E,328.12,-159.87,235,-174.28,,,41.7002,-86.2379
Grechkin Y,Scholle Md,1,122,2003,2003,Grechkin YScholle Md,328.12,-159.87,275.6,-130.73,,,41.8805,-87.6873
Grechkin Y,Somera Al,1,122,2003,2003,Grechkin YSomera Al,328.12,-159.87,284.26,-153.92,,,,
Kapatral V,Kyrpides Nc,1,122,2003,2003,Kapatral VKyrpides Nc,352.12,-117.97,312.27,-84.38,,,,
Kapatral V,Mseeh F,1,122,2003,2003,Kapatral VMseeh F,352.12,-117.97,349.15,-93.22,,,,
Kapatral V,Oltvai Zn,1,122,2003,2003,Kapatral VOltvai Zn,352.12,-117.97,183.41,-126.32,,,41.7002,-86.2379
Kapatral V,Osterman Al,1,122,2003,2003,Kapatral VOsterman Al,352.12,-117.97,305.04,-140.29,,,,
Kapatral V,Overbeek R,1,122,2003,2003,Kapatral VOverbeek R,352.12,-117.97,325.75,-128.61,,,,
Kapatral V,Ravasz E,1,122,2003,2003,Kapatral VRavasz E,352.12,-117.97,235,-174.28,,,41.7002,-86.2379
Kapatral V,Scholle Md,1,122,2003,2003,Kapatral VScholle Md,352.12,-117.97,275.6,-130.73,,,41.8805,-87.6873
Kapatral V,Somera Al,1,122,2003,2003,Kapatral VSomera Al,352.12,-117.97,284.26,-153.92,,,,
Kyrpides Nc,Mseeh F,1,122,2003,2003,Kyrpides NcMseeh F,312.27,-84.38,349.15,-93.22,,,,
Kyrpides Nc,Oltvai Zn,1,122,2003,2003,Kyrpides NcOltvai Zn,312.27,-84.38,183.41,-126.32,,,41.7002,-86.2379
Kyrpides Nc,Osterman Al,1,122,2003,2003,Kyrpides NcOsterman Al,312.27,-84.38,305.04,-140.29,,,,
Kyrpides Nc,Overbeek R,1,122,2003,2003,Kyrpides NcOverbeek R,312.27,-84.38,325.75,-128.61,,,,
Kyrpides Nc,Ravasz E,1,122,2003,2003,Kyrpides NcRavasz E,312.27,-84.38,235,-174.28,,,41.7002,-86.2379
Kyrpides Nc,Scholle Md,1,122,2003,2003,Kyrpides NcScholle Md,312.27,-84.38,275.6,-130.73,,,41.8805,-87.6873
Kyrpides Nc,Somera Al,1,122,2003,2003,Kyrpides NcSomera Al,312.27,-84.38,284.26,-153.92,,,,
Mseeh F,Oltvai Zn,1,122,2003,2003,Mseeh FOltvai Zn,349.15,-93.22,183.41,-126.32,,,41.7002,-86.2379
Mseeh F,Osterman Al,1,122,2003,2003,Mseeh FOsterman Al,349.15,-93.22,305.04,-140.29,,,,
Mseeh F,Overbeek R,1,122,2003,2003,Mseeh FOverbeek R,349.15,-93.22,325.75,-128.61,,,,
Mseeh F,Ravasz E,1,122,2003,2003,Mseeh FRavasz E,349.15,-93.22,235,-174.28,,,41.7002,-86.2379
Mseeh F,Scholle Md,1,122,2003,2003,Mseeh FScholle Md,349.15,-93.22,275.6,-130.73,,,41.8805,-87.6873
Mseeh F,Somera Al,1,122,2003,2003,Mseeh FSomera Al,349.15,-93.22,284.26,-153.92,,,,
Oltvai Zn,Osterman Al,1,122,2003,2003,Oltvai ZnOsterman Al,183.41,-126.32,305.04,-140.29,41.7002,-86.2379,,
Oltvai Zn,Overbeek R,1,122,2003,2003,Oltvai ZnOverbeek R,183.41,-126.32,325.75,-128.61,41.7002,-86.2379,,
Oltvai Zn,Ravasz E,2,141,2002,2003,Oltvai ZnRavasz E,183.41,-126.32,235,-174.28,41.7002,-86.2379,41.7002,-86.2379
Oltvai Zn,Scholle Md,1,122,2003,2003,Oltvai ZnScholle Md,183.41,-126.32,275.6,-130.73,41.7002,-86.2379,41.8805,-87.6873
Oltvai Zn,Somera Al,1,122,2003,2003,Oltvai ZnSomera Al,183.41,-126.32,284.26,-153.92,41.7002,-86.2379,,
Osterman Al,Overbeek R,1,122,2003,2003,Osterman AlOverbeek R,305.04,-140.29,325.75,-128.61,,,,
Osterman Al,Ravasz E,1,122,2003,2003,Osterman AlRavasz E,305.04,-140.29,235,-174.28,,,41.7002,-86.2379
Osterman Al,Scholle Md,1,122,2003,2003,Osterman AlScholle Md,305.04,-140.29,275.6,-130.73,,,41.8805,-87.6873
Osterman Al,Somera Al,1,122,2003,2003,Osterman AlSomera Al,305.04,-140.29,284.26,-153.92,,,,
Overbeek R,Ravasz E,1,122,2003,2003,Overbeek RRavasz E,325.75,-128.61,235,-174.28,,,41.7002,-86.2379
Overbeek R,Scholle Md,1,122,2003,2003,Overbeek RScholle Md,325.75,-128.61,275.6,-130.73,,,41.8805,-87.6873
Overbeek R,Somera Al,1,122,2003,2003,Overbeek RSomera Al,325.75,-128.61,284.26,-153.92,,,,
Ravasz E,Scholle Md,1,122,2003,2003,Ravasz EScholle Md,235,-174.28,275.6,-130.73,41.7002,-86.2379,41.8805,-87.6873
Ravasz E,Somera Al,1,122,2003,2003,Ravasz ESomera Al,235,-174.28,284.26,-153.92,41.7002,-86.2379,,
Scholle Md,Somera Al,1,122,2003,2003,Scholle MdSomera Al,275.6,-130.73,284.26,-153.92,41.8805,-87.6873,,
Barabasi Al,Jeong H,17,4160,1999,2003,Barabasi AlJeong H,29.22,-94.74,62.46,-189.09,41.7002,-86.2379,41.6919,-86.2647
Barabasi Al,Kahng B,11,241,1999,2004,Barabasi AlKahng B,29.22,-94.74,-144.21,-156.57,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Yang I,1,6,2003,2003,Barabasi AlYang I,29.22,-94.74,-38.53,-159.85,41.7002,-86.2379,,
Jeong H,Kahng B,5,149,1999,2003,Jeong HKahng B,62.46,-189.09,-144.21,-156.57,41.6919,-86.2647,41.7002,-86.2379
Jeong H,Yang I,1,6,2003,2003,Jeong HYang I,62.46,-189.09,-38.53,-159.85,41.6919,-86.2647,,
Kahng B,Yang I,1,6,2003,2003,Kahng BYang I,-144.21,-156.57,-38.53,-159.85,41.7002,-86.2379,,
Balazsi G,Kay Ka,1,22,2003,2003,Balazsi GKay Ka,265.28,-79.06,171.85,-71.13,40.4752,-79.9528,41.7002,-86.2379
Barabasi Al,Kay Ka,1,22,2003,2003,Barabasi AlKay Ka,29.22,-94.74,171.85,-71.13,41.7002,-86.2379,41.7002,-86.2379
Kay Ka,Oltvai Zn,1,22,2003,2003,Kay KaOltvai Zn,171.85,-71.13,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Bonabeau E,1,59,2003,2003,Barabasi AlBonabeau E,29.22,-94.74,68.97,-49.67,41.7002,-86.2379,42.377,-71.1256
Barabasi Al,Neda Z,4,253,2000,2003,Barabasi AlNeda Z,29.22,-94.74,104.96,-219.14,41.7002,-86.2379,,
Jeong H,Neda Z,2,196,2002,2003,Jeong HNeda Z,62.46,-189.09,104.96,-219.14,41.6919,-86.2647,,
Farkas I,Jeong H,2,47,2002,2003,Farkas IJeong H,117.68,-241,62.46,-189.09,,,41.6919,-86.2647
Farkas I,Oltvai Zn,2,47,2002,2003,Farkas IOltvai Zn,117.68,-241,183.41,-126.32,,,41.7002,-86.2379
Jeong H,Oltvai Zn,5,1757,2000,2003,Jeong HOltvai Zn,62.46,-189.09,183.41,-126.32,41.6919,-86.2647,41.7002,-86.2379
Jeong H,Vicsek T,3,209,2002,2003,Jeong HVicsek T,62.46,-189.09,-4.72,-215.17,41.6919,-86.2647,41.7002,-86.2379
Barabasi Al,Cuerno R,2,267,1995,2002,Barabasi AlCuerno R,29.22,-94.74,35.14,-191.15,41.7002,-86.2379,42.3471,-71.1027
Cuerno R,Makeev Ma,1,85,2002,2002,Cuerno RMakeev Ma,35.14,-191.15,54.99,-222.72,42.3471,-71.1027,41.7002,-86.2379
Barabasi Al,Meda Z,1,19,2002,2002,Barabasi AlMeda Z,29.22,-94.74,129.85,-216.29,41.7002,-86.2379,,
Barabasi Al,Schubert A,2,181,2002,2002,Barabasi AlSchubert A,29.22,-94.74,132.75,-232.45,41.7002,-86.2379,,
Derenyi I,Jeong H,1,19,2002,2002,Derenyi IJeong H,91.88,-253.75,62.46,-189.09,41.7002,-86.2379,41.6919,-86.2647
Derenyi I,Meda Z,1,19,2002,2002,Derenyi IMeda Z,91.88,-253.75,129.85,-216.29,41.7002,-86.2379,,
Derenyi I,Oltvai Zn,1,19,2002,2002,Derenyi IOltvai Zn,91.88,-253.75,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Derenyi I,Ravasz E,1,19,2002,2002,Derenyi IRavasz E,91.88,-253.75,235,-174.28,41.7002,-86.2379,41.7002,-86.2379
Derenyi I,Schubert A,1,19,2002,2002,Derenyi ISchubert A,91.88,-253.75,132.75,-232.45,41.7002,-86.2379,,
Farkas I,Meda Z,1,19,2002,2002,Farkas IMeda Z,117.68,-241,129.85,-216.29,,,,
Farkas I,Ravasz E,1,19,2002,2002,Farkas IRavasz E,117.68,-241,235,-174.28,,,41.7002,-86.2379
Farkas I,Schubert A,1,19,2002,2002,Farkas ISchubert A,117.68,-241,132.75,-232.45,,,,
Jeong H,Meda Z,1,19,2002,2002,Jeong HMeda Z,62.46,-189.09,129.85,-216.29,41.6919,-86.2647,,
Jeong H,Ravasz E,2,181,2002,2002,Jeong HRavasz E,62.46,-189.09,235,-174.28,41.6919,-86.2647,41.7002,-86.2379
Jeong H,Schubert A,2,181,2002,2002,Jeong HSchubert A,62.46,-189.09,132.75,-232.45,41.6919,-86.2647,,
Meda Z,Oltvai Zn,1,19,2002,2002,Meda ZOltvai Zn,129.85,-216.29,183.41,-126.32,,,41.7002,-86.2379
Meda Z,Ravasz E,1,19,2002,2002,Meda ZRavasz E,129.85,-216.29,235,-174.28,,,41.7002,-86.2379
Meda Z,Schubert A,1,19,2002,2002,Meda ZSchubert A,129.85,-216.29,132.75,-232.45,,,,
Meda Z,Vicsek T,1,19,2002,2002,Meda ZVicsek T,129.85,-216.29,-4.72,-215.17,,,41.7002,-86.2379
Oltvai Zn,Schubert A,1,19,2002,2002,Oltvai ZnSchubert A,183.41,-126.32,132.75,-232.45,41.7002,-86.2379,,
Ravasz E,Schubert A,2,181,2002,2002,Ravasz ESchubert A,235,-174.28,132.75,-232.45,41.7002,-86.2379,,
Ravasz E,Vicsek T,5,302,2000,2002,Ravasz EVicsek T,235,-174.28,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Schubert A,Vicsek T,2,181,2002,2002,Schubert AVicsek T,132.75,-232.45,-4.72,-215.17,,,41.7002,-86.2379
Barabasi Al,Kim J,1,8,2002,2002,Barabasi AlKim J,29.22,-94.74,-84.84,-151.66,41.7002,-86.2379,,
Kahng B,Kim J,1,8,2002,2002,Kahng BKim J,-144.21,-156.57,-84.84,-151.66,41.7002,-86.2379,,
Barabasi Al,Jeong Hw,2,92,2001,2002,Barabasi AlJeong Hw,29.22,-94.74,93.19,-34.78,41.7002,-86.2379,,
Jeong Hw,Yook Sh,1,86,2002,2002,Jeong HwYook Sh,93.19,-34.78,52.52,-142.77,,,41.7002,-86.2379
Barabasi Al,Ben Avraham D,1,18,2002,2002,Barabasi AlBen Avraham D,29.22,-94.74,-63.65,-47,41.7002,-86.2379,44.6698,-74.9813
Barabasi Al,Cohen R,1,18,2002,2002,Barabasi AlCohen R,29.22,-94.74,-54,-41.55,41.7002,-86.2379,,
Barabasi Al,Havlin S,11,486,1992,2002,Barabasi AlHavlin S,29.22,-94.74,-104.21,-67.35,41.7002,-86.2379,42.3471,-71.1027
Barabasi Al,Schwartz N,1,18,2002,2002,Barabasi AlSchwartz N,29.22,-94.74,-57.4,-56.19,41.7002,-86.2379,,
Ben Avraham D,Cohen R,1,18,2002,2002,Ben Avraham DCohen R,-63.65,-47,-54,-41.55,44.6698,-74.9813,,
Ben Avraham D,Havlin S,1,18,2002,2002,Ben Avraham DHavlin S,-63.65,-47,-104.21,-67.35,44.6698,-74.9813,42.3471,-71.1027
Ben Avraham D,Schwartz N,1,18,2002,2002,Ben Avraham DSchwartz N,-63.65,-47,-57.4,-56.19,44.6698,-74.9813,,
Cohen R,Havlin S,1,18,2002,2002,Cohen RHavlin S,-54,-41.55,-104.21,-67.35,,,42.3471,-71.1027
Cohen R,Schwartz N,1,18,2002,2002,Cohen RSchwartz N,-54,-41.55,-57.4,-56.19,,,,
Havlin S,Schwartz N,1,18,2002,2002,Havlin SSchwartz N,-104.21,-67.35,-57.4,-56.19,42.3471,-71.1027,,
Neda Z,Ravasz E,3,219,2000,2002,Neda ZRavasz E,104.96,-219.14,235,-174.28,,,41.7002,-86.2379
Neda Z,Schubert A,1,162,2002,2002,Neda ZSchubert A,104.96,-219.14,132.75,-232.45,,,,
Neda Z,Vicsek T,3,219,2000,2002,Neda ZVicsek T,104.96,-219.14,-4.72,-215.17,,,41.7002,-86.2379
Albert R,Barabasi Al,17,7741,1997,2002,Albert RBarabasi Al,-25.26,-272.86,29.22,-94.74,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Furdyna Jk,3,54,1998,2002,Barabasi AlFurdyna Jk,29.22,-94.74,-12.5,-31.37,41.7002,-86.2379,,
Barabasi Al,Kwak Cy,1,0,2002,2002,Barabasi AlKwak Cy,29.22,-94.74,-34.94,-99.33,41.7002,-86.2379,,
Barabasi Al,Lee S,3,54,1998,2002,Barabasi AlLee S,29.22,-94.74,-2.41,-21.87,41.7002,-86.2379,41.7002,-86.2379
Furdyna Jk,Jeong H,1,0,2002,2002,Furdyna JkJeong H,-12.5,-31.37,62.46,-189.09,,,41.6919,-86.2647
Furdyna Jk,Kahng B,1,0,2002,2002,Furdyna JkKahng B,-12.5,-31.37,-144.21,-156.57,,,41.7002,-86.2379
Furdyna Jk,Kwak Cy,1,0,2002,2002,Furdyna JkKwak Cy,-12.5,-31.37,-34.94,-99.33,,,,
Furdyna Jk,Lee S,3,54,1998,2002,Furdyna JkLee S,-12.5,-31.37,-2.41,-21.87,,,41.7002,-86.2379
Jeong H,Kwak Cy,1,0,2002,2002,Jeong HKwak Cy,62.46,-189.09,-34.94,-99.33,41.6919,-86.2647,,
Jeong H,Lee S,1,0,2002,2002,Jeong HLee S,62.46,-189.09,-2.41,-21.87,41.6919,-86.2647,41.7002,-86.2379
Kahng B,Kwak Cy,1,0,2002,2002,Kahng BKwak Cy,-144.21,-156.57,-34.94,-99.33,41.7002,-86.2379,,
Kahng B,Lee S,1,0,2002,2002,Kahng BLee S,-144.21,-156.57,-2.41,-21.87,41.7002,-86.2379,41.7002,-86.2379
Kwak Cy,Lee S,1,0,2002,2002,Kwak CyLee S,-34.94,-99.33,-2.41,-21.87,,,41.7002,-86.2379
Albert I,Barabasi Al,5,207,1997,2001,Albert IBarabasi Al,-82.93,-297.2,29.22,-94.74,40.7997,-77.8623,41.7002,-86.2379
Albert I,Morss Aj,1,18,2001,2001,Albert IMorss Aj,-82.93,-297.2,-113.73,-286.37,40.7997,-77.8623,40.7997,-77.8623
Albert I,Rajagopalan S,1,18,2001,2001,Albert IRajagopalan S,-82.93,-297.2,-105.78,-296.87,40.7997,-77.8623,,
Albert I,Sample Jg,3,69,2000,2001,Albert ISample Jg,-82.93,-297.2,-108.05,-265.22,40.7997,-77.8623,41.7002,-86.2379
Albert I,Schiffer P,5,207,1997,2001,Albert ISchiffer P,-82.93,-297.2,-87.23,-278.51,40.7997,-77.8623,,
Barabasi Al,Morss Aj,1,18,2001,2001,Barabasi AlMorss Aj,29.22,-94.74,-113.73,-286.37,41.7002,-86.2379,40.7997,-77.8623
Barabasi Al,Rajagopalan S,1,18,2001,2001,Barabasi AlRajagopalan S,29.22,-94.74,-105.78,-296.87,41.7002,-86.2379,,
Barabasi Al,Sample Jg,3,69,2000,2001,Barabasi AlSample Jg,29.22,-94.74,-108.05,-265.22,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Schiffer P,9,298,1997,2001,Barabasi AlSchiffer P,29.22,-94.74,-87.23,-278.51,41.7002,-86.2379,,
Morss Aj,Rajagopalan S,1,18,2001,2001,Morss AjRajagopalan S,-113.73,-286.37,-105.78,-296.87,40.7997,-77.8623,,
Morss Aj,Sample Jg,1,18,2001,2001,Morss AjSample Jg,-113.73,-286.37,-108.05,-265.22,40.7997,-77.8623,41.7002,-86.2379
Morss Aj,Schiffer P,1,18,2001,2001,Morss AjSchiffer P,-113.73,-286.37,-87.23,-278.51,40.7997,-77.8623,,
Rajagopalan S,Sample Jg,1,18,2001,2001,Rajagopalan SSample Jg,-105.78,-296.87,-108.05,-265.22,,,41.7002,-86.2379
Rajagopalan S,Schiffer P,1,18,2001,2001,Rajagopalan SSchiffer P,-105.78,-296.87,-87.23,-278.51,,,,
Sample Jg,Schiffer P,3,69,2000,2001,Sample JgSchiffer P,-108.05,-265.22,-87.23,-278.51,41.7002,-86.2379,,
Albert L,Barabasi Al,1,6,2001,2001,Albert LBarabasi Al,-102.44,-203.77,29.22,-94.74,,,41.7002,-86.2379
Albert L,Kahng B,1,6,2001,2001,Albert LKahng B,-102.44,-203.77,-144.21,-156.57,,,41.7002,-86.2379
Albert L,Schiffer P,1,6,2001,2001,Albert LSchiffer P,-102.44,-203.77,-87.23,-278.51,,,,
Kahng B,Schiffer P,3,57,2000,2001,Kahng BSchiffer P,-144.21,-156.57,-87.23,-278.51,41.7002,-86.2379,,
Albert I,Albert R,4,189,1997,2001,Albert IAlbert R,-82.93,-297.2,-25.26,-272.86,40.7997,-77.8623,41.7002,-86.2379
Albert I,Kahng B,2,51,2000,2001,Albert IKahng B,-82.93,-297.2,-144.21,-156.57,40.7997,-77.8623,41.7002,-86.2379
Albert I,Tegzes P,2,51,2000,2001,Albert ITegzes P,-82.93,-297.2,-77.48,-256.17,40.7997,-77.8623,41.7002,-86.2379
Albert I,Vicsek T,2,51,2000,2001,Albert IVicsek T,-82.93,-297.2,-4.72,-215.17,40.7997,-77.8623,41.7002,-86.2379
Albert R,Kahng B,2,51,2000,2001,Albert RKahng B,-25.26,-272.86,-144.21,-156.57,41.7002,-86.2379,41.7002,-86.2379
Albert R,Sample Jg,2,51,2000,2001,Albert RSample Jg,-25.26,-272.86,-108.05,-265.22,41.7002,-86.2379,41.7002,-86.2379
Albert R,Schiffer P,7,274,1997,2001,Albert RSchiffer P,-25.26,-272.86,-87.23,-278.51,41.7002,-86.2379,,
Albert R,Tegzes P,3,80,1999,2001,Albert RTegzes P,-25.26,-272.86,-77.48,-256.17,41.7002,-86.2379,41.7002,-86.2379
Albert R,Vicsek T,3,80,1999,2001,Albert RVicsek T,-25.26,-272.86,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Tegzes P,3,80,1999,2001,Barabasi AlTegzes P,29.22,-94.74,-77.48,-256.17,41.7002,-86.2379,41.7002,-86.2379
Kahng B,Sample Jg,2,51,2000,2001,Kahng BSample Jg,-144.21,-156.57,-108.05,-265.22,41.7002,-86.2379,41.7002,-86.2379
Kahng B,Tegzes P,2,51,2000,2001,Kahng BTegzes P,-144.21,-156.57,-77.48,-256.17,41.7002,-86.2379,41.7002,-86.2379
Kahng B,Vicsek T,2,51,2000,2001,Kahng BVicsek T,-144.21,-156.57,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Sample Jg,Tegzes P,2,51,2000,2001,Sample JgTegzes P,-108.05,-265.22,-77.48,-256.17,41.7002,-86.2379,41.7002,-86.2379
Sample Jg,Vicsek T,2,51,2000,2001,Sample JgVicsek T,-108.05,-265.22,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Schiffer P,Tegzes P,3,80,1999,2001,Schiffer PTegzes P,-87.23,-278.51,-77.48,-256.17,,,41.7002,-86.2379
Schiffer P,Vicsek T,3,80,1999,2001,Schiffer PVicsek T,-87.23,-278.51,-4.72,-215.17,,,41.7002,-86.2379
Tegzes P,Vicsek T,3,80,1999,2001,Tegzes PVicsek T,-77.48,-256.17,-4.72,-215.17,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Podani J,1,26,2001,2001,Barabasi AlPodani J,29.22,-94.74,117.85,-165.17,41.7002,-86.2379,,
Barabasi Al,Szathmary E,1,26,2001,2001,Barabasi AlSzathmary E,29.22,-94.74,119.76,-176.2,41.7002,-86.2379,,
Barabasi Al,Tombor B,2,965,2000,2001,Barabasi AlTombor B,29.22,-94.74,93.73,-195.35,41.7002,-86.2379,41.7002,-86.2379
Jeong H,Podani J,1,26,2001,2001,Jeong HPodani J,62.46,-189.09,117.85,-165.17,41.6919,-86.2647,,
Jeong H,Szathmary E,1,26,2001,2001,Jeong HSzathmary E,62.46,-189.09,119.76,-176.2,41.6919,-86.2647,,
Jeong H,Tombor B,2,965,2000,2001,Jeong HTombor B,62.46,-189.09,93.73,-195.35,41.6919,-86.2647,41.7002,-86.2379
Oltvai Zn,Podani J,1,26,2001,2001,Oltvai ZnPodani J,183.41,-126.32,117.85,-165.17,41.7002,-86.2379,,
Oltvai Zn,Szathmary E,1,26,2001,2001,Oltvai ZnSzathmary E,183.41,-126.32,119.76,-176.2,41.7002,-86.2379,,
Oltvai Zn,Tombor B,2,965,2000,2001,Oltvai ZnTombor B,183.41,-126.32,93.73,-195.35,41.7002,-86.2379,41.7002,-86.2379
Podani J,Szathmary E,1,26,2001,2001,Podani JSzathmary E,117.85,-165.17,119.76,-176.2,,,,
Podani J,Tombor B,1,26,2001,2001,Podani JTombor B,117.85,-165.17,93.73,-195.35,,,41.7002,-86.2379
Szathmary E,Tombor B,1,26,2001,2001,Szathmary ETombor B,119.76,-176.2,93.73,-195.35,,,41.7002,-86.2379
Barabasi Al,Brockman Jb,1,6,2001,2001,Barabasi AlBrockman Jb,29.22,-94.74,98.05,-5.81,41.7002,-86.2379,,
Barabasi Al,Freeh Vw,1,6,2001,2001,Barabasi AlFreeh Vw,29.22,-94.74,105.44,-10.8,41.7002,-86.2379,41.7002,-86.2379
Brockman Jb,Freeh Vw,1,6,2001,2001,Brockman JbFreeh Vw,98.05,-5.81,105.44,-10.8,,,41.7002,-86.2379
Brockman Jb,Jeong Hw,1,6,2001,2001,Brockman JbJeong Hw,98.05,-5.81,93.19,-34.78,,,,
Freeh Vw,Jeong Hw,1,6,2001,2001,Freeh VwJeong Hw,105.44,-10.8,93.19,-34.78,41.7002,-86.2379,,
Barabasi Al,Farkas Ij,1,64,2001,2001,Barabasi AlFarkas Ij,29.22,-94.74,39.82,-233.41,41.7002,-86.2379,,
Derenyi I,Farkas Ij,1,64,2001,2001,Derenyi IFarkas Ij,91.88,-253.75,39.82,-233.41,41.7002,-86.2379,,
Farkas Ij,Vicsek T,1,64,2001,2001,Farkas IjVicsek T,39.82,-233.41,-4.72,-215.17,,,41.7002,-86.2379
Barabasi Al,Tu Y,1,97,2001,2001,Barabasi AlTu Y,29.22,-94.74,49.12,-163.43,41.7002,-86.2379,,
Jeong H,Tu Y,1,97,2001,2001,Jeong HTu Y,62.46,-189.09,49.12,-163.43,41.6919,-86.2647,,
Jeong H,Yook Sh,1,97,2001,2001,Jeong HYook Sh,62.46,-189.09,52.52,-142.77,41.6919,-86.2647,41.7002,-86.2379
Tu Y,Yook Sh,1,97,2001,2001,Tu YYook Sh,49.12,-163.43,52.52,-142.77,,,41.7002,-86.2379
Barabasi Al,Bianconi G,2,190,2001,2001,Barabasi AlBianconi G,29.22,-94.74,61.15,-41.92,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Mason Sp,1,745,2001,2001,Barabasi AlMason Sp,29.22,-94.74,114.61,-137.14,41.7002,-86.2379,,
Jeong H,Mason Sp,1,745,2001,2001,Jeong HMason Sp,62.46,-189.09,114.61,-137.14,41.6919,-86.2647,,
Mason Sp,Oltvai Zn,1,745,2001,2001,Mason SpOltvai Zn,114.61,-137.14,183.41,-126.32,,,41.7002,-86.2379
Barabasi Al,Lee Cs,2,112,1999,2001,Barabasi AlLee Cs,29.22,-94.74,7.93,-236.92,41.7002,-86.2379,41.7002,-86.2379
Kahng B,Lee Cs,1,15,2001,2001,Kahng BLee Cs,-144.21,-156.57,7.93,-236.92,41.7002,-86.2379,41.7002,-86.2379
Albet R,Barabasi Al,1,16,2001,2001,Albet RBarabasi Al,74.41,-4.49,29.22,-94.74,41.7002,-86.2379,41.7002,-86.2379
Albet R,Jeong N,1,16,2001,2001,Albet RJeong N,74.41,-4.49,74.47,-12.7,41.7002,-86.2379,,
Barabasi Al,Jeong N,1,16,2001,2001,Barabasi AlJeong N,29.22,-94.74,74.47,-12.7,41.7002,-86.2379,,
Albert R,Jeong H,5,2900,1999,2000,Albert RJeong H,-25.26,-272.86,62.46,-189.09,41.7002,-86.2379,41.6919,-86.2647
Albert R,Oltvai Zn,1,939,2000,2000,Albert ROltvai Zn,-25.26,-272.86,183.41,-126.32,41.7002,-86.2379,41.7002,-86.2379
Albert R,Tombor B,1,939,2000,2000,Albert RTombor B,-25.26,-272.86,93.73,-195.35,41.7002,-86.2379,41.7002,-86.2379
Barabasi Al,Brechet Y,2,57,2000,2000,Barabasi AlBrechet Y,29.22,-94.74,111.36,-201.36,41.7002,-86.2379,,
