subd_id,subd_name,disc_id,x,y
144,Vision,8,405.4313,177.66667
145,Communication Research,13,487.22046,145.71642
146,BioInformatics,2,305.11182,133.42786
147,Mechanics of Solids & Structures,4,183.0671,196.0995
148,Pharmacy,3,354.3131,198.55722
149,Geomorphology,6,234.82428,53.55224
150,Psychosis; Schizophrenia,8,416.2939,171.52238
151,BioEthics,12,392.0128,252.62686
152,Parallel Computing,7,138.97763,180.12437
153,Power Distribution,7,150.47923,203.47264
154,Gerontology,12,435.46326,188.72636
155,Wood,4,206.70926,197.32835
156,Discrete Applied Mathematics,11,130.03195,208.38806
157,Geology & Tectonics,6,227.53946,51.01821
158,GeoChemistry,6,228.43451,44.95025
159,Mobile Networks,7,136.42172,188.72636
160,Artificial Intelligence,7,130.67093,183.81094
161,Electro Analytical Chemistry,5,249.52077,241.56717
162,Dental Education,12,376.6773,232.96518
163,Enzyme Microbiological Techniques,2,295.52716,142.02985
164,Library Science; Information Retrieval,7,108.94569,167.83582
165,Biomaterials,12,370.28754,204.70149
166,Quaternary Research,6,232.90735,43.721394
167,Endoscopic Surgery,3,362.6198,113.76617
168,Composites,4,195.20767,201.01492
169,Language Learning,13,472.52396,112.537315
170,American History,9,485.30353,58.467663
171,Leadership & Organizational Behavior,13,492.97125,158.00497
172,Agricultural Engineering,4,252.71565,99.0199
173,Computer-Aided Process Planning,13,114.05751,172.75125
174,Geriatrics,8,420.1278,169.06468
175,Solid State Electronics,7,163.89777,223.13432
176,Optics & Lasers,11,174.98329,235.62636
177,Wool,4,210.86365,198.06557
178,Biomechanics,12,376.6773,189.95523
179,Molecular Physics,5,198.40256,251.39801
180,Comparative Animal Physiology,1,276.9968,57.238808
181,Political Science,13,485.30353,124.825874
182,Science History,9,487.85944,41.263683
183,Poetry,9,485.30353,36.34826
184,Nuclear Medicine,3,370.28754,128.51244
185,Nanotechnology,5,197.1246,237.8806
186,Speech Recognition,7,139.61661,201.01492
187,Fluid Mechanics,4,184.34505,196.0995
188,Computer Graphics,7,133.86581,196.0995
189,Filtration Membrane,4,218.21086,202.24377
190,Clinical Infectious Disease,3,337.0607,140.801
191,Prosthetic Dentistry,12,371.5655,223.13432
192,Orthodontics,12,367.73163,215.7612
193,Robotic Systems,7,144.08946,191.18408
194,Dental Research,12,369.64856,221.90547
195,Atomic Spectrometry,5,274.4409,229.27861
196,Botany,1,275.07986,80.58707
197,Public Health Service,12,371.5655,260
198,Political Geography,13,487.22046,124.825874
199,Catalysis,5,223.96165,232.96518
200,Radiation Protection,3,376.03833,111.30846
201,Machine Tools,4,178.59425,221.90547
202,Veterinary Medicine,10,307.02875,117.452736
203,Periodontology,12,366.45367,218.2189
204,Birth Defects,3,358.14697,172.75125
205,Thrombosis,3,358.14697,176.4378
206,Freshwater Biology,1,260.3834,53.55224
207,Mental Health Nursing,12,416.2939,235.42288
208,Artificial Evolution,7,124.28115,181.35324
209,English Literature,9,486.00742,40.889866
210,Plastic Surgery,12,371.5655,187.49751
211,Nursing Administration,12,407.34824,251.39801
212,Higher Education,13,486.58148,155.54726
213,Ecology,1,271.246,58.467663
214,Modern Language,9,480.7256,35.306896
215,Neurophysiology & Neuroscience,8,392.65176,161.69154
216,Mining,4,204.15335,153.08955
217,Aquaculture,1,279.5527,62.15423
218,Molecular Biological Evolution,1,287.22046,64.61194
219,Photonics,11,167.09265,237.8806
220,Urban Studies,13,487.85944,130.97015
221,Functional Analysis,11,134.50479,218.2189
222,Linguistics,9,480.19168,53.55224
223,Photo-Optics,7,165.17572,228.04974
224,Spine,12,377.31628,173.9801
225,Robotics,7,153.67412,189.95523
226,Audiology,12,393.92972,159.23383
227,Soil Science,4,249.52077,75.67164
228,Simulation,11,154.3131,218.2189
229,Nuclear Instrumentation,11,170.28754,236.65175
230,Hispanic Studies,9,482.25647,41.52221
231,Forest Science,1,262.9393,69.52737
232,Plasma Physics,11,168.3706,232.96518
233,Proteomics,2,305.11182,158.00497
234,Symbolic Interaction,13,476.35782,145.71642
235,Child & Adolescent Psychiatry,8,438.65814,170.29353
236,General Practice,12,393.29074,242.79602
237,Environmental Management,13,495.52716,127.283585
238,Diabetes Metabolism,3,352.39618,202.24377
239,Geotechnical Engineering,4,211.18211,144.48756
240,Instrumentation,7,160.0639,225.59204
241,Clinical Chemistry,3,353.03516,169.06468
242,Fluid Engineering,4,193.92972,176.4378
243,Arthroscopy,12,379.23322,176.4378
244,Eating Disorders; Sex Roles,13,457.82748,169.06468
245,Water Quality & Resource Management,4,227.79553,114.995026
246,Ethnic Migration,13,487.22046,119.910446
247,Geriatric Psychiatry,8,416.2939,169.06468
248,Sound & Vibration,4,179.87221,178.89552
249,Ore Processing,4,199.04153,181.35324
250,Ethnology,13,485.30353,99.0199
251,Prenatal Diagnostics,3,354.9521,164.14925
252,Cancer (translated),3,367.09265,138.34328
253,Dielectrics,7,158.78595,219.44775
254,Atmospheric GeoPhysics,6,239.29712,49.865673
255,Flavors & Fragrance,5,284.66455,223.13432
256,Numerical Methods in Engineering,4,179.87221,197.32835
257,EthnoPharmacology,5,302.5559,223.13432
258,Electrocardiography,3,362.6198,181.35324
259,International Development,13,496.8051,126.054726
260,Electrochemistry,4,206.70926,235.42288
261,Political Studies,13,485.30353,128.51244
262,Molecular Endocrinology,3,344.72842,181.35324
263,Surface Coating Technology,11,183.0671,229.27861
264,Molecular Biochemical Parasitology,1,310.22363,87.9602
265,Vocational Counseling,13,469.32907,158.00497
266,Oil & Natural Gas,4,211.62347,135.9964
267,International Conflict,13,484.66455,119.910446
268,Art History,9,488.64224,36.667618
269,Applied Catalysis,5,226.51758,232.96518
270,Agricultural Economics,13,102.611786,128.38821
271,Social Work,13,459.74442,159.23383
272,Medical Insurance,12,389.45688,247.71144
273,Fluid Phase Equilibrium,4,214.377,230.50746
274,Biotechnology Trends,2,308.94568,129.74129
275,Air Quality,6,234.82428,43.721394
276,Search Engines; Web Crawling,7,112.77956,169.06468
277,Colloid,5,211.82109,232.96518
278,Applied Physiology; Muscle,12,369.00958,197.32835
279,Biblical Literature,9,486.93,38.386612
280,Fault Tolerant Computing,7,142.81151,193.64178
281,Third World Political Economics,13,490.76486,125.15601
282,Public Hospitals,12,397.1246,256.31345
283,Sociology,13,483.3866,142.02985
284,Horticulture,1,268.6901,86.731346
285,Bone & Osteoporosis,3,360.0639,189.95523
286,Radiation Therapy,3,368.3706,135.88557
287,Water Treatment,4,225.8786,135.88557
288,Spyware; Malware,7,138.97763,182.58209
289,Behavioral Research Therapy,12,443.13098,166.60696
290,Science Education,13,475.71884,142.02985
291,Design & Analysis of Algorithms,11,125.559105,189.95523
292,Hospice Care,12,383.06708,214.53233
293,Climatology,6,239.29712,58.467663
294,Crop Science,1,276.35782,94.10448
295,Fuzzy Sets,7,134.50479,189.95523
296,Vehicle System Design,4,188.81789,165.37811
297,Transfusion,3,342.57495,154.99394
298,AIDS Treatment,12,399.6805,260
299,Wireless Communication,7,143.45049,202.24377
300,Atherosclerosis,3,354.9521,177.66667
301,Region & Medical Ethics,12,392.65176,252.62686
302,Speech Language & Hearing,8,428.4345,158.00497
303,Thoracic & Respiratory,3,347.1342,153.9053
304,Veterinary Microbiology,10,309.58466,121.139305
305,Environmental Protection,4,249.52077,100.24876
306,Computer Systems Design,7,131.99423,178.92197
307,Environmental Pollution,4,248.24281,90.41791
308,Electrical Networks,7,150.47923,208.38806
309,Endoscopy,3,359.9301,79.930626
310,Chemistry & Material Science,5,207.98721,246.48259
311,Medical Screening & Epidemiology,12,352.39618,229.27861
312,Child Development,13,446.96484,164.14925
313,Pain,12,383.06708,181.35324
314,Public Administration,13,487.85944,142.02985
315,Soil Analysis,1,264.85623,81.81592
316,Safety Management,4,208.6262,143.25871
317,Pattern Recognition,7,140.25558,197.32835
318,Mental Health Assessment,12,431.6294,177.66667
319,Clinical Medicine (translated),3,361.98083,140.801
320,Mutation; DNA Repair,10,331.94888,132.199
321,Human Evolution,1,272.52396,47.40796
322,Space Research,11,163.25879,212.07463
323,Entomology,1,282.7476,53.55224
324,Epilepsy,8,403.51437,160.46269
325,Plant Ecology,1,266.77316,62.15423
326,Computer Aided Molecular Design,5,260.3834,246.48259
327,Criminology,13,461.66135,146.94527
328,Forensic Psychiatry,8,436.10223,175.20895
329,Personality,13,455.91055,175.20895
330,Test Equipment,7,153.03514,209.61691
331,Logic,7,128.11502,203.47264
332,Pulp Paper Science,4,208.6262,210.84576
333,Textiles,4,208.6262,201.01492
334,Contemporary Philosophy,9,489.1374,31.432837
335,Hydrology Soil Contamination,4,224.60063,116.22388
336,Child Abuse,13,447.60382,164.14925
337,Mathematics Research,11,138.33865,230.50746
338,Geology (International),6,223.54347,47.91023
